name,slug,brand_slug,category_slug,product_code,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,oem-kodu,mpn,ean,upc,motor-hacmi,silindir-sayisi,motor-tipi,sogutma-sistemi,supap-sayisi,sikistirma-orani,maksimum-guc,maksimum-guc-devri,maksimum-tork,maksimum-tork-devri,maksimum-hiz-min,Maksimum-hiz-max,sanziman-tipi,vites-sayisi,debriyaj-tipi,son-aktarma-tipi,yakit-turu,yakit-sistemi,yakit-deposu,yakit-tuketimi-min,yakit-tuketimi-max,yakit-deposu-konumu,uzunluk,genislik,yukseklik,dingil-mesafesi,sele-yuksekligi,yerden-yukseklik,bos-agirlik,tasima-kapasitesi,sele-alti-bagaj-hacmi,on-fren,arka-fren,el-freni,on-suspansiyon,arka-suspansiyon,on-lastik,arka-lastik,on-jant,arka-jant,aku,far-tipi,gosterge-paneli,telefon-baglantisi,navigasyon-destegi,usb-sarj-girisi,anahtarsiz-calistirma,duz-taban,on-cam,start-stop-sistemi,idling-stop,akilli-anahtar,arka-portbagaj,ayak-marsi,on-saklama-gozu,abs,cbs,cekis-kontrolu,immobilizer,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi
Kuba XRS50,kuba-xrs50,kuba,50cc-scooter,,114479,108000,TRY,in_stock,"Şehir içi ulaşım için hava soğutmalı, pratik 50cc scooter modeli.",,TRUE,,2026,,Çin,Kuba Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.15,7500,2.40,5500,,,CVT (Sürekli Değişken),,,,Benzin,,8,,,,1930,725,1190,1255,,,119,279,,Disk,Kampana,,,,90/90-12,3.50-10,,,,LED,Dijital,,,,,,,,,,,,,,,,,24,,,,
Kuba Brilliant 50ST,kuba-brilliant-50st,kuba,50cc-scooter,,78248,73000,TRY,in_stock,"Şehir içi ulaşım için hava soğutmalı, ekonomik 50cc scooter modeli.",,TRUE,,2026,,Çin,Kuba Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,3.22,6750,3.30,6000,,,CVT (Sürekli Değişken),,,,Benzin,,5,,,,1860,660,1150,1260,,,90,250,,Disk,Kampana,,,,90/90-12,3.50-10,,,,LED,Dijital,,,,,,,,,,,,,,,,,24,,,,
Kuba VN50 Grande,kuba-vn50-grande,kuba,50cc-scooter,,65849,61000,TRY,in_stock,"Şehir içi ulaşım için hava soğutmalı, ekonomik 50cc scooter modeli.",,TRUE,,2026,,Çin,Kuba Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.15,7500,2.40,5500,,,CVT (Sürekli Değişken),,,,Benzin,,7,,,,1974,648,1093,1255,,,100,260,,Disk,Kampana,,,,90/90-12,3.50-10,,,,LED,Dijital,,,,,,,,,,,,,,,,,24,,,,
Kuba Borelli 50,kuba-borelli-50,kuba,50cc-scooter,,83886,78000,TRY,in_stock,"Şehir içi ulaşım için hava soğutmalı, pratik 50cc scooter modeli.",,TRUE,,2026,,Çin,Kuba Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.81,7500,2.90,5500,,,CVT (Sürekli Değişken),,,,Benzin,,6,,,,1990,695,1085,1215,,,92,252,,Disk,Kampana,,,,90/90-12,3.50-10,,,,LED,Dijital,,,,,,,,,,,,,,,,,24,,,,
Kuba AZ50,kuba-az50,kuba,50cc-scooter,,70000,65000,TRY,in_stock,"Şehir içi ulaşım için hava soğutmalı, kompakt 50cc scooter modeli.",,TRUE,,2026,,Çin,Kuba Motor,,,,,49,1,Tek Silindir,Hava Soğutmalı,,,3.21,7500,3.30,5500,,,Otomatik,,,,Benzin,,5,,,,1820,695,1125,1230,,,80,230,,Disk,Kampana,,,,3.50-10,3.50-10,,,,,Dijital,,,,,,,,,,,,,,,,,24,,,,
Kuba Brilliant 26E,kuba-brilliant-26e,kuba,50cc-scooter,,92024,86000,TRY,in_stock,"Şehir içi ulaşım için hava soğutmalı, modern tasarımlı 50cc scooter modeli.",,TRUE,,2026,,Çin,Kuba Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.68,6750,3.00,6000,,,CVT (Sürekli Değişken),,,,Benzin,,5,,,,1895,670,1180,1360,,,80,230,,Disk,Kampana,,,,3.50-10,3.50-10,,,,LED,Dijital,,,,,,,,,,,,,,,,,24,,,,
Kuba Bayberry 50,kuba-bayberry-50,kuba,50cc-scooter,,83640,78000,TRY,in_stock,"Şehir içi ulaşım için hava soğutmalı, sele altı bölmeli 50cc scooter modeli.",,TRUE,,2026,,Çin,Kuba Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.82,7500,2.90,5500,,,Otomatik,,,,Benzin,,6.6,,,,1830,660,1115,1300,,,103,253,,Disk,Kampana,,,,100/80-12,100/80-12,,,,,Dijital,,,,,,,,,,,,,,,,,24,,,,
Kuba Newcity 50,kuba-newcity-50,kuba,50cc-scooter,,107453,100000,TRY,in_stock,"Şehir içi ulaşım için hava soğutmalı, CBS fren sistemli 50cc scooter modeli.",,TRUE,,2026,,Çin,Kuba Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.15,7500,2.40,6000,,,CVT (Sürekli Değişken),,,,Benzin,,6.5,,,,2110,780,1290,1390,760,105,129,,,Disk,Disk,,,,130/60-13,130/60-13,,,,LED,Dijital,,,,,,,,,,,,,,TRUE,,,24,,,,
Kuba Newlight50,kuba-newlight50,kuba,50cc-scooter,,79950,74000,TRY,in_stock,"Şehir içi ulaşım için hava soğutmalı, CBS fren sistemli 50cc scooter modeli.",,TRUE,,2026,,Çin,Kuba Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.15,7500,2.40,6000,,,Otomatik,,,,Benzin,,8,,,,1950,650,1060,1290,,,101,251,,Disk,Disk,,,,130/60-13,130/60-13,,,,LED,Dijital,,,,,,,,,,,,,,TRUE,,,24,,,,
Kuba Brilliant 50 Pro,kuba-brilliant-50-pro,kuba,50cc-scooter,,88000,82000,TRY,in_stock,"Şehir içi ulaşım için hava soğutmalı, modern tasarımlı 50cc scooter modeli.",,TRUE,,2026,,Çin,Kuba Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.68,6750,3.00,6000,,,CVT (Sürekli Değişken),,,,Benzin,,5,,,,1895,670,1180,1360,,,80,230,,Disk,Kampana,,,,3.50-10,3.50-10,,,,LED,Dijital,,,,,,,,,,,,,,,,,24,,,,
