name,slug,brand_slug,category_slug,product_code,price,currency,stock_status,short_description,description,is_featured,is_active,aku,maksimum-guc,motor-hacmi,on-fren,on-lastik,on-suspansiyon,renk,uzunluk,arka-fren,arka-lastik,arka-suspansiyon,far-tipi,garanti-suresi,genislik,immobilizer,maksimum-tork,silindir-sayisi,abs,gosterge-paneli,lastik-tipi,maksimum-hiz,model-yili,motor-tipi,yukseklik,cbs,dingil-mesafesi,fiyat,sogutma-sistemi,yakit-tuketimi,sele-yuksekligi,yakit-sistemi,yerden-yukseklik,bos-agirlik,yakit-deposu,maksimum-tasima-kapasitesi,sanziman-tipi,sele-alti-bagaj-hacmi,on-cam,duz-taban,start-stop,anahtarsiz-calistirma
Space 50 Pro,kuba-space-50-pro,kuba,scooter,space50pro,,TRY,in_stock,Kuba Space 50 Pro scooter,Kuba Space 50 Pro scooter teknik özellikleri.,false,true,,2.81,50,,3.50-10,,,1800,,3.50-10,,,2,690,,2.9,1,,,,,,dört zamanlı,1100,,1190,,hava soğutmalı,,,benzin,,80,5,230,cvt,,,,,
XRS 50,kuba-xrs-50,kuba,scooter,xrs50,114479,TRY,in_stock,Kuba XRS 50 scooter,Kuba XRS 50 scooter teknik özellikleri.,false,true,,2.15,50,,,,,,,,,led,2,,,2.4,1,,,,,,dört zamanlı,,true,,,hava soğutmalı,,,benzin,,,,,cvt,,,,,
VN 50 Grande,kuba-vn-50-grande,kuba,scooter,vn50grande,65849,TRY,in_stock,Kuba VN 50 Grande scooter,Kuba VN 50 Grande scooter teknik özellikleri.,false,true,,2.15,50,,90/90-12,,,1974,,3.50-10,,,2,648,,2.4,1,,,,,,dört zamanlı,1093,,1255,,hava soğutmalı,,,benzin,,100,7,260,cvt,,,,,
Borelli 50,kuba-borelli-50,kuba,scooter,borelli50,83886,TRY,in_stock,Kuba Borelli 50 scooter,Kuba Borelli 50 scooter teknik özellikleri.,false,true,,2.81,50,,90/90-12,,,1990,,3.50-10,,,2,695,,2.9,1,,,,45,,dört zamanlı,1085,,1215,,hava soğutmalı,1.9,,benzin,,92,6,252,cvt,,,,,
Newcity 50,kuba-newcity-50,kuba,scooter,newcity50,107453,TRY,in_stock,Kuba Newcity 50 scooter,Kuba Newcity 50 scooter teknik özellikleri.,false,true,,2.15,50,,130/60-13,,,2110,,130/60-13,,,2,780,,2.4,1,,,,45,,dört zamanlı,1290,true,1390,,hava soğutmalı,2.0,760,benzin,105,129,6.5,,cvt,,,,,
Brilliant 50ST,kuba-brilliant-50st,kuba,scooter,brilliant50st,78248,TRY,in_stock,Kuba Brilliant 50ST scooter,Kuba Brilliant 50ST scooter teknik özellikleri.,false,true,,3.22,50,,90/90-12,,,1860,,3.50-10,,,2,660,,3.3,1,,,,,,dört zamanlı,1150,,1260,,hava soğutmalı,,,benzin,,90,5,250,cvt,,,,,
Brillian 50 Pro,kuba-brillian-50-pro,kuba,scooter,brillian50pro,,TRY,in_stock,Kuba Brillian 50 Pro scooter,Kuba Brillian 50 Pro scooter teknik özellikleri.,false,true,,2.68,50,,,,,,,,,,2,,,3.0,1,,,,,,dört zamanlı,,,,,hava soğutmalı,,,benzin,,80,,230,cvt,,,,,
Nova X 200,kuba-nova-x-200,kuba,scooter,novax200,99678,TRY,in_stock,Kuba Nova X 200 scooter,Kuba Nova X 200 scooter teknik özellikleri.,false,true,,,,,,,,,,,,,2,,,,1,,,,,,dört zamanlı,,,,,,,,benzin,,,,,cvt,,,,,
Space 50,kuba-space-50,kuba,scooter,space50,,TRY,in_stock,Kuba Space 50 scooter,Kuba Space 50 scooter teknik özellikleri.,false,true,,,50,,,,,,,,,,2,,,,1,,,,,,dört zamanlı,,,,,hava soğutmalı,,,benzin,,,,,cvt,,,,,
Bayberry 50,kuba-bayberry-50,kuba,scooter,bayberry50,83640,TRY,in_stock,Kuba Bayberry 50 scooter,Kuba Bayberry 50 scooter teknik özellikleri.,false,true,,2.82,50,,,,,1830,,,,,2,660,,2.9,1,,,,,,dört zamanlı,1115,,,,hava soğutmalı,,,benzin,,103,6.6,253,cvt,,,,,
