name,slug,brand_slug,category_slug,product_code,price,currency,stock_status,short_description,description,is_featured,is_active,aku,cekis-kontrolu,maksimum-guc,motor-hacmi,on-fren,on-lastik,on-suspansiyon,quickshifter,renk,uzunluk,arka-fren,arka-lastik,arka-suspansiyon,far-tipi,garanti-suresi,genislik,immobilizer,maksimum-tork,silindir-sayisi,vites-sayisi,abs,debriyaj-tipi,gosterge-paneli,lastik-tipi,maksimum-hiz,model-yili,motor-tipi,yukseklik,cbs,dingil-mesafesi,fiyat,sogutma-sistemi,son-aktarma-tipi,yakit-tuketimi,sele-yuksekligi,yakit-sistemi,yerden-yukseklik,bos-agirlik,yakit-deposu,maksimum-tasima-kapasitesi,sanziman-tipi
RKS SRT902S,rks-srt902s,rks,motosiklet,SRT902S,568480,TRY,in_stock,RKS SRT902S Adventure motosiklet.,"RKS SRT902S, Adventure sınıfında motosiklet.",false,true,,true,47.58,904,ABS,110/80-19,MARZOCCHI,true,,2250,ABS,150/70-17,,LED,,950,,77.0,2,6,true,,TFT,,,,dört zamanlı,1390,,1540,568480,su soğutmalı,,,815,benzin,210,257,24,,manuel
RKS 125N,rks-125n,rks,motosiklet,125N,100860,TRY,in_stock,RKS 125N Cruiser/Chopper motosiklet.,"RKS 125N, Cruiser/Chopper sınıfında motosiklet.",false,true,,,,,,,,,,,,,,LED,,,,,,,,,digital,,,,dört zamanlı,,,,100860,,,,,benzin,,,,,manuel
RKS SRV125,rks-srv125,rks,motosiklet,SRV125,158670,TRY,in_stock,RKS SRV125 Cruiser/Chopper motosiklet.,"RKS SRV125, Cruiser/Chopper sınıfında motosiklet.",false,true,,,14.75,125,CBS,90/90-17,,,,2140,,140/90-15,,LED,,780,,12.1,1,6,,,LCD,,,,dört zamanlı,1050,true,1440,158670,su soğutmalı,,,720,benzin,140,150,14.7,,manuel
RKS K-Light 250,rks-k-light-250,rks,motosiklet,KLIGHT250,211450,TRY,in_stock,RKS K-Light 250 Cruiser/Chopper motosiklet.,"RKS K-Light 250, Cruiser/Chopper sınıfında motosiklet.",false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,dört zamanlı,,,,211450,,,,,benzin,,,,,manuel
RKS SRV250VS,rks-srv250vs,rks,motosiklet,SRV250VS,293970,TRY,in_stock,RKS SRV250VS Cruiser/Chopper motosiklet.,"RKS SRV250VS, Cruiser/Chopper sınıfında motosiklet.",false,true,,,27.5,249,ABS,130/90-16,,,,2225,ABS,150/80-16,,LED,,830,,23.0,2,6,true,,LCD,,,,dört zamanlı,1105,,1520,293970,su soğutmalı,,,720,benzin,170,178,16.5,,manuel
RKS SRV700,rks-srv700,rks,motosiklet,SRV700,,TRY,in_stock,RKS SRV700 Cruiser/Chopper motosiklet.,"RKS SRV700, Cruiser/Chopper sınıfında motosiklet.",false,true,,,72.42,700,ABS,130/90-16,MARZOCCHI,,,2230,ABS,150/80-16,,LED,,830,,67.0,2,6,true,,LCD,,,,dört zamanlı,1160,,1580,,su soğutmalı,,,720,benzin,160,208,16,,manuel
RKS C1002V,rks-c1002v,rks,motosiklet,C1002V,,TRY,in_stock,RKS C1002V Cruiser/Chopper motosiklet.,"RKS C1002V, Cruiser/Chopper sınıfında motosiklet.",false,true,,,87.16,997,ABS,130/70-18,,,,2380,ABS,240/40-18,,LED,,918,,89.0,2,6,true,,TFT,,,,dört zamanlı,1135,,1665,,su soğutmalı,,,,benzin,,268,22,,manuel
RKS RK250X,rks-rk250x,rks,motosiklet,RK250X,179088,TRY,in_stock,RKS RK250X Cross motosiklet.,"RKS RK250X, Cross sınıfında motosiklet.",false,true,,,16.49,250,,,,,,,,,,,,,,18.2,1,,,,digital,,,,dört zamanlı,,,,179088,hava soğutmalı,,,,benzin,,,,,manuel
RKS RT250,rks-rt250,rks,motosiklet,RT250,140515,TRY,in_stock,RKS RT250 Cross motosiklet.,"RKS RT250, Cross sınıfında motosiklet.",false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,dört zamanlı,,,,140515,,,,,benzin,,,,,manuel
RKS Blackwolf 250,rks-blackwolf-250,rks,motosiklet,BLACKWOLF250,,TRY,in_stock,RKS Blackwolf 250 Cross motosiklet.,"RKS Blackwolf 250, Cross sınıfında motosiklet.",false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,dört zamanlı,,,,,,,,,benzin,,,,,manuel
