name,slug,brand_slug,category_slug,product_code,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,oem-kodu,mpn,ean,upc,motor-hacmi,silindir-sayisi,motor-tipi,sogutma-sistemi,supap-sayisi,sikistirma-orani,maksimum-guc,maksimum-guc-devri,maksimum-tork,maksimum-tork-devri,maksimum-hiz-min,Maksimum-hiz-max,sanziman-tipi,vites-sayisi,debriyaj-tipi,son-aktarma-tipi,yakit-turu,yakit-sistemi,yakit-deposu,yakit-tuketimi-min,yakit-tuketimi-max,yakit-deposu-konumu,uzunluk,genislik,yukseklik,dingil-mesafesi,sele-yuksekligi,yerden-yukseklik,bos-agirlik,tasima-kapasitesi,sele-alti-bagaj-hacmi,on-fren,arka-fren,el-freni,on-suspansiyon,arka-suspansiyon,on-lastik,arka-lastik,on-jant,arka-jant,aku,far-tipi,gosterge-paneli,telefon-baglantisi,navigasyon-destegi,usb-sarj-girisi,anahtarsiz-calistirma,duz-taban,on-cam,start-stop-sistemi,idling-stop,akilli-anahtar,arka-portbagaj,ayak-marsi,on-saklama-gozu,abs,cbs,cekis-kontrolu,immobilizer,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi
RKS SRX 50,rks-srx-50,rks,50cc-scooter,,122606,106000,TRY,in_stock,"Şehir içi ulaşım için ekonomik, pratik 50cc scooter modeli.","RKS SRX 50, şehir içi ulaşımda pratiklik, konfor ve kullanım kolaylığı arayanlar için tasarlanan 50 cc scooter modelidir. 4 zamanlı tek silindirli motoru, otomatik CVT şanzımanı ve kompakt tasarımı sayesinde günlük kullanımlarda ekonomik bir sürüş sunar.",,TRUE,2026,Beyaz|Gri|Siyah,Çin,RKS Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.14,7500,2.4,5000,45,50,CVT (Sürekli Değişken),,,,Benzin,,8,2,2.5,,1900,715,1210,1330,,,117,,,Disk,Kampana,,,,90/90-12,100/80-12,,,,LED,Dijital,,,,,,,,,,,,,,,,,,,,,
RKS Icon 50 ST,rks-icon-50-st,rks,50cc-scooter,,93298,83302,TRY,,"Şehir içi ulaşım için kompakt, ekonomik 50cc scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.95,7500,2.8,5000,,,CVT (Sürekli Değişken),,,,Benzin,,4.5,,,,2005,650,1180,1270,,,103,,,Disk,Disk,,,,80/90-14,90/90-14,,,,,Dijital,,,,,,,,,,,,,,TRUE,,,,,,,
RKS LT50 Pro Plus,rks-lt50-pro-plus,rks,50cc-scooter,,,,TRY,,"Şehir içi ulaşım için pratik, hafif 50cc scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.82,7000,3.5,5000,45,50,CVT (Sürekli Değişken),,,,Benzin,,6,,,,1915,710,1100,1300,760,125,105,,,Disk,Kampana,,,,100/90-12,110/90-12,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
RKS Rosa 50 Pro,rks-rosa-50-pro,rks,50cc-scooter,,95940,84378,TRY,,"Şehir içi ulaşım için ekonomik, kompakt 50cc scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.15,7500,2,5500,45,50,CVT (Sürekli Değişken),,,,Benzin,,7,2,2.35,,2060,755,1105,1370,755,130,112,,,Disk,Kampana,,,,90/90-12,100/80-12,,,,,Dijital,,,,,,,,,,,,,,TRUE,,,,,,,
RKS Parmida 50,rks-parmida-50,rks,50cc-scooter,,89052,78351,TRY,,"Şehir içi ulaşım için ekonomik, zarif 50cc scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.68,7000,2.4,5000,45,50,CVT (Sürekli Değişken),,,,Benzin,,,,,,,,,,,,,,,,,,,,,,,,,,Dijital,,,,,,,,,,,,,,,,,,,,,
RKS Neon125,rks-neon125,rks,125cc-scooter,,88560,77982,TRY,,"Şehir içi ulaşım için konforlu, geniş selesi olan 125cc scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,125,1,Tek Silindir,Hava Soğutmalı,,,9.25,,10,5500,,,CVT (Sürekli Değişken),,,,Benzin,,5.4,2.3,2.6,,1810,705,1110,1275,,,108,,,Disk,Kampana,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
RKS VPS125 Pro,rks-vps125-pro,rks,125cc-scooter,,88683,78041,TRY,,"Şehir içi ulaşım için modern, güçlü 125cc scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,124,1,Tek Silindir,Hava Soğutmalı,,,8.71,7000,10,6000,,,CVT (Sürekli Değişken),,,,Benzin,,5.3,,,,1840,690,1090,1293,750,125,107,,,Disk,Disk,,,,100/90-12,110/90-12,,,,,Dijital,,,,,,,,,,,,,,TRUE,,,,,,,
RKS DES125,rks-des125,rks,125cc-scooter,,97908,86838,TRY,,"Şehir içi ulaşım için güçlü, konforlu 125cc scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,124,1,Tek Silindir,Hava Soğutmalı,,,9.25,7500,10,5500,,,CVT (Sürekli Değişken),,,,Benzin,,,,,,,,,,,,,,,Disk,Disk,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
RKS VRS125 Pro,rks-vrs125-pro,rks,125cc-scooter,,119025,106272,TRY,,"Şehir içi ve şehir dışı kullanım için güçlü, sıvı soğutmalı 125cc scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,125,1,Tek Silindir,Sıvı Soğutmalı,,,14.75,8500,12.5,6500,,,CVT (Sürekli Değişken),,,,Benzin,,10,,,,1897,718,1132,1350,760,150,138,,,Disk,Disk,,,,,,,,,,Dijital,,,,,,,,,,,,,TRUE,,,,,,,,
RKS LTR125,rks-ltr125,rks,125cc-scooter,,,,TRY,,"Şehir içi kullanım için sportif, sıvı soğutmalı 125cc scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,125,1,Tek Silindir,Sıvı Soğutmalı,,,14.5,8750,12,8250,,,CVT (Sürekli Değişken),,,,Benzin,,6,,,,1915,710,1100,1300,760,125,118,,,Disk,Disk,,,,100/90-12,110/90-12,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
