name,slug,product_code,brand_slug,category_slug,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi,oem-kodu,mpn,ean,upc,cerceve-geometrisi,bisiklet-jant-malzemesi,krank-seti,vites-aktarici,sele-malzemesi,uzunluk,genislik,yukseklik,cerceve-malzemesi,cerceve-bedeni,bisiklet-jant-capi,bisiklet-lastik-genisligi,bisiklet-vites-sayisi,vites-grubu-markasi,bisiklet-sanziman-tipi,bisiklet-fren-tipi,fren-mekanizmasi,bisiklet-on-suspansiyon,bisiklet-arka-suspansiyon,suspansiyon-seyahati,bisiklet-agirlik,bisiklet-tasima-kapasitesi,camurluk,bisiklet-bagaj,bisiklet-isik,standart-kickstand,elektrikli-motor-gucu,elektrikli-motor-tipi,surus-modlari,elektrikli-batarya-kapasitesi,elektrikli-batarya-tipi,elektrikli-batarya-garantisi,elektrikli-sarj-suresi-min,elektrikli-sarj-suresi-max,hizli-sarj-destegi,sarj-soketi-tipi,elektrikli-menzil-min,elektrikli-menzil-max,elektrikli-maksimum-hiz,gosterge-paneli
Skyjet 1S,skyjet-1s,,skyjet,e-bisiklet,,,TRY,in_stock,"Katlanabilir, hava soğutmalı elektrikli bisiklet, şehir içi kısa mesafe ulaşımı için ideal.",,TRUE,TRUE,2026,,Çin,Skyjet,24,,,,,,,,,,,,,,,,,Çelik,,,16x1.95,,,,Disk,,Çatal Süspansiyon,,,27,127,,,,,250W,,,36V-7.8Ah,,,4,6,,,35,45,25,Dijital
Skyjet TRVIII PRO,skyjet-trviii-pro,,skyjet,e-bisiklet,46249,,TRY,in_stock,"Tek batarya, yüksek güçlü elektrikli bisiklet.",,TRUE,TRUE,2026,,Çin,Skyjet,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000W,,,,,,6,7,,,,,25,
Skyjet TRVIII PRO W,skyjet-trviii-pro-w,,skyjet,e-bisiklet,58889,,TRY,in_stock,"Çift batarya, uzun menzilli, hidrolik disk frenli, Shimano 7 viteli elektrikli bisiklet.",,TRUE,TRUE,2026,,Çin,Skyjet,24,,,,,,,,,,Alüminyum,,Shimano 7 Vites,,,,,,,,20x4.0,,,,Hidrolik Disk,,Kilitlenebilir Çatal Süspansiyon,,,37,157,,,,,1000W,,,48V-30Ah,,,6,7,,,100,120,25,Dijital
Skyjet GTIII PRO,skyjet-gtiii-pro,,skyjet,e-bisiklet,49799,,TRY,in_stock,"Hidrolik disk frenli, Shimano 7 viteli, kilitlenebilir ön süspansiyonlu elektrikli bisiklet.",,TRUE,TRUE,2026,,Çin,Skyjet,24,,,,,,,,,,,,Shimano 7 Vites,,,,,,,,20x4.0,,,,Hidrolik Disk,,Kilitlenebilir Çatal Süspansiyon,,,37,157,,,,,1000W,,,48V-13.5Ah,,,6,7,,,50,60,25,Dijital
Skyjet Robusto Standart,skyjet-robusto-standart,,skyjet,e-bisiklet,38750,,TRY,in_stock,"Çelik şasili, alüminyum jantlı, Shimano 6 viteli, jel seleli elektrikli bisiklet.",,TRUE,TRUE,2026,,Çin,Skyjet,24,,,,,,,,,,Alüminyum,,Shimano 6 Vites,Jel,,,,Çelik,,,,,,,YX-DB06 Çelik Disk,,Teleskopik Fork,,,32,142,,,,,250W,,,48V-13Ah,,,4,6,,,40,45,25,Dijital
Skyjet Nitro Pro,skyjet-nitro-pro,,skyjet,e-bisiklet,28900,,TRY,in_stock,"Alüminyum şasili, katlanabilir, 6 viteli elektrikli bisiklet.",,TRUE,TRUE,2026,,Çin,Skyjet,24,,,,,,,,,,,,6 Vites,,,,,Alüminyum,,,,,,,Mekanik Disk,,Yaylı,,,27,,,,,,250W,,,36V-10Ah,,,,6,,,,35,25,
Skyjet Nitro,skyjet-nitro,,skyjet,e-bisiklet,,,TRY,in_stock,"Alüminyum şasili, katlanabilir, 6 viteli elektrikli bisiklet.",,TRUE,TRUE,2026,,Çin,Skyjet,24,,,,,,,,,,,,6 Vites,,,,,Alüminyum,,,,,,,Mekanik Disk,,Yaylı,,,27,,,,,,250W,,,36V-10Ah,,,,6,,,,35,25,
Skyjet Nitro 16,skyjet-nitro-16,,skyjet,e-bisiklet,19200,,TRY,in_stock,"16 inç jantlı, katlanabilir, kompakt elektrikli bisiklet.",,TRUE,TRUE,2026,,Çin,Skyjet,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,250W,,,36V-8Ah,,,4,6,,,30,35,25,
Skyjet S25,skyjet-s25,,skyjet,e-bisiklet,20009,,TRY,in_stock,"Kompakt, hafif tasarımlı, şehir içi kullanım için katlanabilir elektrikli bisiklet.",,TRUE,TRUE,2026,,Çin,Skyjet,24,,,,,,,,,,,,,,,,,,,,,,,,Disk,,,,,22,,,,,,250W,,,36V-7.5Ah,,,,6,,,25,35,25,Dijital
Skyjet Light,skyjet-light,,skyjet,e-bisiklet,,,TRY,in_stock,"16 inç jantlı, hafif, katlanabilir elektrikli bisiklet.",,TRUE,TRUE,2026,,Çin,Skyjet,24,,,,,,,,,,,,,,,,,,,,,,,,Disk,,Çelik Çatal Süspansiyon,,,20,,,,,,250W,,,36V-7.8Ah,,,,,,,25,35,25,Dijital
